City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Russell,US,32.35,-85.2,80.6,54,40,6.93,scattered clouds
1,Zharkent,KZ,44.16,80.0,53.62,39,0,1.34,clear sky
2,Airai,TL,-8.93,125.41,60.94,73,100,1.77,overcast clouds
3,Hobart,AU,-42.88,147.33,53.6,81,90,5.82,light rain
4,Busselton,AU,-33.65,115.33,53.01,81,64,8.7,broken clouds
5,Puerto Ayora,EC,-0.74,-90.35,78.8,69,75,20.8,broken clouds
6,Kumluca,TR,36.37,30.29,72.36,58,84,5.95,broken clouds
7,Sri Aman,MY,1.24,111.46,77.0,94,100,1.12,overcast clouds
8,Bluff,NZ,-46.6,168.33,41.0,90,93,12.41,overcast clouds
9,Hasaki,JP,35.73,140.83,55.4,87,20,9.17,few clouds
10,Rikitea,PF,-23.12,-134.97,73.27,80,3,13.65,clear sky
11,Jamestown,US,42.1,-79.24,50.0,93,90,5.82,overcast clouds
12,Carnarvon,AU,-24.87,113.63,68.0,82,40,16.11,scattered clouds
13,Bredasdorp,ZA,-34.53,20.04,59.0,62,0,12.75,clear sky
14,Portland,US,45.52,-122.68,57.99,82,75,6.93,broken clouds
15,Albany,US,42.6,-73.97,64.0,72,100,0.38,overcast clouds
16,Vaini,TO,-21.2,-175.2,69.8,77,40,9.17,scattered clouds
17,Cape Town,ZA,-33.93,18.42,62.01,62,2,14.99,clear sky
18,Turukhansk,RU,65.82,87.98,16.83,94,99,7.18,overcast clouds
19,Praia,CV,14.92,-23.51,89.6,59,99,13.87,overcast clouds
20,Bagdarin,RU,54.43,113.6,18.25,85,0,6.02,clear sky
21,Oktyabrskoye,RU,43.06,44.74,53.6,76,75,1.7,broken clouds
22,Mataura,NZ,-46.19,168.86,41.0,90,93,1.07,overcast clouds
23,Qaanaaq,GL,77.48,-69.36,21.85,84,0,7.09,clear sky
24,Port Elizabeth,ZA,-33.92,25.57,60.8,77,20,12.75,few clouds
25,Leningradskiy,RU,69.38,178.42,33.08,89,89,10.8,overcast clouds
26,Chuy,UY,-33.7,-53.46,56.34,82,100,16.75,overcast clouds
27,Ushuaia,AR,-54.8,-68.3,42.8,60,40,20.8,scattered clouds
28,Port Alfred,ZA,-33.59,26.89,60.94,69,77,15.05,broken clouds
29,Lavrentiya,RU,65.58,-171.0,36.43,90,49,11.34,scattered clouds
30,Dikson,RU,73.51,80.55,21.7,95,94,8.05,overcast clouds
31,Yerbogachen,RU,61.28,108.01,21.33,96,100,8.01,light snow
32,Ngunguru,NZ,-35.62,174.5,53.01,95,79,5.01,broken clouds
33,Tuktoyaktuk,CA,69.45,-133.04,23.0,92,90,16.11,light snow
34,Marsh Harbour,BS,26.54,-77.06,81.46,76,78,21.09,light rain
35,Hithadhoo,MV,-0.6,73.08,83.07,76,81,10.25,light rain
36,Avarua,CK,-21.21,-159.78,75.2,94,23,2.24,few clouds
37,Dhidhdhoo,MV,6.88,73.1,82.18,79,67,11.12,broken clouds
38,Thompson,CA,55.74,-97.86,28.4,68,90,3.36,overcast clouds
39,Pevek,RU,69.7,170.31,31.32,94,93,20.11,overcast clouds
40,Khatanga,RU,71.97,102.5,6.96,95,84,8.08,broken clouds
41,Tiksi,RU,71.69,128.87,11.5,93,100,15.35,overcast clouds
42,Mahebourg,MU,-20.41,57.7,75.2,73,20,11.41,few clouds
43,Bethel,US,41.37,-73.41,68.0,88,90,6.93,overcast clouds
44,Port Lincoln,AU,-34.73,135.87,57.33,85,78,10.98,broken clouds
45,Kapaa,US,22.08,-159.32,77.0,88,75,5.82,light rain
46,Atuona,PF,-9.8,-139.03,77.43,74,8,19.57,clear sky
47,Cabo San Lucas,MX,22.89,-109.91,93.99,46,5,5.82,clear sky
48,Kolpashevo,RU,58.31,82.91,34.12,94,100,5.1,overcast clouds
49,Zhigansk,RU,66.77,123.37,14.92,96,100,7.47,overcast clouds
50,Cayenne,GF,4.93,-52.33,91.4,55,39,12.75,scattered clouds
51,Australind,AU,-33.27,115.72,53.01,81,36,5.82,scattered clouds
52,Hobyo,SO,5.35,48.53,80.4,81,10,17.38,clear sky
53,Englehart,CA,47.82,-79.87,39.2,69,20,8.05,few clouds
54,Constitucion,CL,-35.33,-72.42,62.62,52,0,18.7,clear sky
55,Taltal,CL,-25.4,-70.48,66.72,52,17,4.94,few clouds
56,Hermanus,ZA,-34.42,19.23,57.99,71,0,3.0,clear sky
57,Bantry,IE,51.68,-9.45,55.4,93,75,17.22,broken clouds
58,Luderitz,NA,-26.65,15.16,71.22,35,0,31.47,clear sky
59,Chokwe,MZ,-24.53,32.98,75.7,77,0,22.86,clear sky
60,Jiaonan,CN,35.88,119.98,64.99,72,40,4.47,scattered clouds
61,Gazanjyk,TM,39.24,55.52,63.05,74,0,8.1,clear sky
62,Kalmunai,LK,7.42,81.82,80.78,79,10,3.98,clear sky
63,Castro,BR,-24.79,-50.01,78.28,55,53,1.19,heavy intensity rain
64,Tornio,FI,65.85,24.15,24.8,100,90,4.7,overcast clouds
65,Pisco,PE,-13.7,-76.22,66.2,77,40,11.41,scattered clouds
66,Punta Arenas,CL,-53.15,-70.92,48.2,45,75,20.8,broken clouds
67,Kodiak,US,57.79,-152.41,42.8,56,1,11.41,clear sky
